Sheet: 5.1.1b (2)
A1: [<<<](→0),B1:,C1:,D1:,E1:,F1:,G1:,H1:,I1:,J1:,K1:,L1:,M1:,N1:,O1:,P1:,Q1:,R1:,S1:,T1:,U1:,V1:
A83:,B83:,C83:,D83:,E83:,F83: User,G83: Select,H83: Từ chối,I83: M,J83: Button,K83: N,L83:,M83:,N83:,O83:,P83:,Q83:,R83:,S83:,T83:,U83:,V83:
A84:,B84:,C84:,D84:,E84:,F84: User,G84: Select,H84: Xác nhận,I84: M,J84: Button,K84: N,L84:,M84:,N84:,O84:,P84:,Q84:,R84:,S84:,T84:,U84:,V84:
A85:,B85:,C85:,D85:,E85:,F85: User,G85: Select,H85: Bổ sung TT,I85: M,J85: Button,K85: N,L85:,M85:,N85:,O85:,P85:,Q85:,R85:,S85:,T85:,U85:,V85:
A86:,B86: 4. Nhập lý do từ chối,C86: AMP,D86:,E86:,F86:,G86:,H86:,I86:,J86:,K86:,L86:,M86:,N86:,O86:,P86:,Q86:,R86:,S86:,T86:,U86:,V86:
A87:,B87:,C87:,D87:,E87:,F87: User,G87: Nhập,H87: Lý do từ chối,I87: M,J87: Text,K87: Y,L87: 150,M87:,N87:,O87:,P87:,Q87:,R87:,S87:,T87:,U87:,V87:
A88:,B88: 5. Cập nhật trạng thái yêu cầu,C88: Hệ thống,D88:,E88:,F88:,G88:,H88:,I88:,J88:,K88:,L88:,M88:,N88:,O88:,P88:,Q88:,R88:,S88:,T88:,U88:,V88:
A89:,B89:,C89:,D89:,E89:,F89: System,G89: Update,H89: Trạng thái yêu cầu,I89:,J89:,K89:,L89:,M89:,N89:,O89:,P89:,Q89:,R89: Từ chối,S89:,T89:,U89:,V89:
A90:,B90: 6. Unlock tài sản,C90: Hệ thống,D90:,E90:,F90:,G90:,H90:,I90:,J90:,K90:,L90:,M90:,N90:,O90:,P90:,Q90:,R90:,S90:,T90:,U90:,V90:
A91:,B91:,C91:,D91:,E91:,F91: System,G91: Update,H91: Trạng thái lock tài sản,I91:,J91:,K91:,L91:,M91:,N91:,O91:,P91:,Q91: Hệ thống unlock asset. Asset có thể được pickup cho 1 request khác.,R91:,S91:,T91:,U91:,V91:
A92:,B92: 7. Cập nhật tasklist,C92: Hệ thống,D92:,E92:,F92:,G92:,H92:,I92:,J92:,K92:,L92:,M92:,N92:,O92:,P92:,Q92:,R92:,S92:,T92:,U92:,V92:
A93:,B93:,C93:,D93:,E93:,F93: System,G93: Update,H93: Tasklist AMP,I93:,J93:,K93:,L93:,M93:,N93:,O93:,P93:,Q93: Danh sách tasklist "Đã xử lý",R93:,S93:,T93:,U93:,V93:
A94:,B94:,C94:,D94:,E94:,F94: System,G94: Update,H94: Tasklist người khởi tạo,I94:,J94:,K94:,L94:,M94:,N94:,O94:,P94:,Q94: Danh sách tasklist "Cần xử lý",R94:,S94:,T94:,U94:,V94:
A95:,B95: 8. Thông báo cho Người khởi tạo,C95: Hệ thống,D95:,E95:,F95:,G95:,H95:,I95:,J95:,K95:,L95:,M95:,N95:,O95:,P95:,Q95:,R95:,S95:,T95:,U95:,V95:
A96:,B96:,C96:,D96:,E96:,F96: System,G96: Send,H96: Email notification,I96:,J96: Notification,K96:,L96:,M96:,N96:,O96:,P96:,Q96:,R96:,S96: N.2.1.3.1,T96:,U96:,V96:
A97:,B97: 9. Xác nhận, tạo yêu cầu nhập kho,C97: Hệ thống,D97:,E97: Tạo yêu cầu nhập kho,F97:,G97:,H97:,I97:,J97:,K97:,L97:,M97:,N97:,O97:,P97:,Q97:,R97:,S97:,T97:,U97:,V97:
A98:,B98:,C98:,D98:,E98: Thông tin chung,F98:,G98:,H98:,I98:,J98:,K98:,L98:,M98:,N98:,O98:,P98:,Q98:,R98:,S98:,T98:,U98:,V98:
A99:,B99:,C99:,D99:,E99:,F99: System,G99: Display,H99: Số yêu cầu,I99: M,J99: Text,K99: N,L99: 50,M99: NK.YY.xxxx,N99:,O99:,P99:,Q99: YY = Year, xxxx = số chạy từ 1-9999 không dùng lại,R99:,S99:,T99:,U99:,V99:
A100:,B100:,C100:,D100:,E100:,F100: System,G100: Display,H100: Ngày tạo,I100: M,J100: Date,K100: N,L100: 50,M100: MM.DD.YYYY,N100: Today,O100:,P100:,Q100:,R100:,S100:,T100:,U100:,V100:
A101:,B101:,C101:,D101:,E101:,F101: System,G101: Display,H101: Tiêu đề,I101: M,J101: Text,K101: Y,L101: 150,M101:,N101:,O101:,P101:,Q101: =Tiêu đề RQ điều chuyển _ số RQ điều chuyển,R101:,S101:,T101:,U101:,V101:
A102:,B102:,C102:,D102:,E102:,F102: User,G102: Select,H102: Thêm tài sản,I102: M,J102: Button,K102: N,L102:,M102:,N102:,O102:,P102:,Q102:,R102:,S102:,T102:,U102:,V102:
A103:,B103:,C103:,D103:,E103: DS tài sản nhập kho,F103:,G103:,H103:,I103:,J103:,K103:,L103:,M103:,N103:,O103:,P103:,Q103: = Tài sản từ RQ điều chuyển,R103:,S103:,T103:,U103:,V103:
A104:,B104:,C104:,D104:,E104:,F104: System,G104: Display,H104: Mã tài sản,I104: M,J104:,K104: N,L104:,M104:,N104:,O104:,P104:,Q104:,R104:,S104:,T104:,U104:,V104:
A105:,B105:,C105:,D105:,E105:,F105: System,G105: Display,H105: Tên Tài sản,I105: M,J105:,K105: N,L105:,M105:,N105:,O105:,P105:,Q105:,R105:,S105:,T105:,U105:,V105:
A106:,B106:,C106:,D106:,E106:,F106: System,G106: Display,H106: Mô tả TS,I106: M,J106:,K106: N,L106:,M106:,N106:,O106:,P106:,Q106:,R106:,S106:,T106:,U106:,V106:
A107:,B107:,C107:,D107:,E107:,F107: System,G107: Display,H107: Trạng thái TS,I107: O,J107:,K107: N,L107:,M107:,N107:,O107:,P107:,Q107:,R107:,S107:,T107:,U107:,V107:
A108:,B108:,C108:,D108:,E108:,F108: System,G108: Display,H108: Phân nhóm TS (group name),I108: M,J108:,K108: N,L108:,M108:,N108:,O108:,P108:,Q108:,R108:,S108:,T108:,U108:,V108:
A109:,B109:,C109:,D109:,E109:,F109: System,G109: Display,H109: Nhóm TS (CAT1),I109: M,J109:,K109: N,L109:,M109:,N109:,O109:,P109:,Q109:,R109:,S109:,T109:,U109:,V109:
A110:,B110:,C110:,D110:,E110:,F110: System,G110: Display,H110: Số PO,I110: M,J110:,K110: N,L110:,M110:,N110:,O110:,P110:,Q110:,R110:,S110:,T110:,U110:,V110:
A111:,B111:,C111:,D111:,E111:,F111: System,G111: Display,H111: Tên nhà cung cấp,I111: M,J111:,K111: N,L111:,M111:,N111:,O111:,P111:,Q111:,R111:,S111:,T111:,U111:,V111:
A112:,B112:,C112:,D112:,E112:,F112: System,G112: Display,H112: Nguyên giá TS (VAT incl),I112: M,J112:,K112: N,L112:,M112:,N112:,O112:,P112:,Q112:,R112:,S112:,T112:,U112:,V112:
A113:,B113:,C113:,D113:,E113:,F113: System,G113: Display,H113: Mã TS liên quan,I113: O,J113:,K113: N,L113:,M113:,N113:,O113:,P113:,Q113:,R113:,S113:,T113:,U113:,V113:
A114:,B114:,C114:,D114:,E114:,F114: System,G114: Display,H114: Mô tả TS liên quan,I114: O,J114:,K114: N,L114:,M114:,N114:,O114:,P114:,Q114:,R114:,S114:,T114:,U114:,V114:
A115:,B115:,C115:,D115:,E115:,F115: System,G115: Display,H115: Tên người sử dụng,I115: O,J115:,K115: N,L115:,M115:,N115:,O115:,P115:,Q115:,R115:,S115:,T115:,U115:,V115:
A116:,B116:,C116:,D116:,E116:,F116: System,G116: Display,H116: Tên đơn vị,I116: O,J116:,K116: N,L116:,M116:,N116:,O116:,P116:,Q116:,R116:,S116:,T116:,U116:,V116:
A117:,B117:,C117:,D117:,E117:,F117: System,G117: Display,H117: Mã nhân viên,I117: O,J117:,K117: N,L117:,M117:,N117:,O117:,P117:,Q117:,R117:,S117:,T117:,U117:,V117:
A118:,B118:,C118:,D118:,E118:,F118: System,G118: Display,H118: Email nhân viên,I118: O,J118:,K118: N,L118:,M118:,N118:,O118:,P118:,Q118:,R118:,S118:,T118:,U118:,V118:
A119:,B119:,C119:,D119:,E119:,F119: System,G119: Display,H119: Địa chỉ đặt TS,I119: O,J119:,K119: N,L119:,M119:,N119:,O119:,P119:,Q119:,R119:,S119:,T119:,U119:,V119:
A120:,B120:,C120:,D120:,E120:,F120: System,G120: Display,H120: Tầng đặt TS,I120: O,J120:,K120: N,L120:,M120:,N120:,O120:,P120:,Q120:,R120:,S120:,T120:,U120:,V120:
A121:,B121:,C121:,D121:,E121:,F121: System,G121: Display,H121: Phòng đặt TS,I121: O,J121:,K121: N,L121:,M121:,N121:,O121:,P121:,Q121:,R121:,S121:,T121:,U121:,V121:
A122:,B122:,C122:,D122:,E122:,F122: System,G122: Display,H122: Ngày bắt đầu bảo hành,I122: O,J122:,K122: N,L122:,M122:,N122:,O122:,P122:,Q122:,R122:,S122:,T122:,U122:,V122:
A123:,B123:,C123:,D123:,E123:,F123: System,G123: Display,H123: Thời hạn bảo hành,I123: O,J123:,K123: N,L123:,M123:,N123:,O123:,P123:,Q123:,R123:,S123:,T123:,U123:,V123:
A124:,B124:,C124:,D124:,E124:,F124: System,G124: Display,H124: Ngày kết thúc bảo hành,I124: O,J124:,K124: N,L124:,M124:,N124:,O124:,P124:,Q124:,R124:,S124:,T124:,U124:,V124:
A125:,B125:,C125:,D125:,E125:,F125: System,G125: Display,H125: Công ty bảo hành,I125: O,J125:,K125: N,L125:,M125:,N125:,O125:,P125:,Q125:,R125:,S125:,T125:,U125:,V125:
A126:,B126:,C126:,D126:,E126:,F126: System,G126: Display,H126: Tên người liên hệ bảo hành,I126: O,J126:,K126: N,L126:,M126:,N126:,O126:,P126:,Q126:,R126:,S126:,T126:,U126:,V126:
