Sheet: 5.3.1b
A1: [<<<](→0),B1:,C1:,D1:,E1:,F1:,G1:,H1:,I1:,J1:,K1:,L1:,M1:,N1:,O1:,P1:,Q1:,R1:,S1:,T1:,U1:,V1:
A40:,B40:,C40:,D40:,E40:,F40: System,G40: Display,H40: Mã TS liên quan,I40: O,J40:,K40: N,L40:,M40:,N40:,O40:,P40:,Q40: Ẩn hiện tùy biến,R40:,S40:,T40:,U40:,V40:
A41:,B41:,C41:,D41:,E41:,F41: System,G41: Display,H41: Mô tả TS liên quan,I41: O,J41:,K41: N,L41:,M41:,N41:,O41:,P41:,Q41: Ẩn hiện tùy biến,R41:,S41:,T41:,U41:,V41:
A42:,B42:,C42:,D42:,E42:,F42: System,G42: Display,H42: Tên người sử dụng,I42: M,J42:,K42: N,L42:,M42:,N42:,O42:,P42:,Q42: Hiển thị mặc định,R42:,S42:,T42:,U42:,V42:
A43:,B43:,C43:,D43:,E43:,F43: System,G43: Display,H43: Tên đơn vị,I43: M,J43:,K43: N,L43:,M43:,N43:,O43:,P43:,Q43: Hiển thị mặc định,R43:,S43:,T43:,U43:,V43:
A44:,B44:,C44:,D44:,E44:,F44: System,G44: Display,H44: Mã nhân viên,I44: M,J44:,K44: N,L44:,M44:,N44:,O44:,P44:,Q44: Ẩn hiện tùy biến,R44:,S44:,T44:,U44:,V44:
A45:,B45:,C45:,D45:,E45:,F45: System,G45: Display,H45: Đơn vị sử dụng cha,I45: M,J45:,K45: N,L45:,M45:,N45:,O45:,P45:,Q45: Hiển thị mặc định,R45:,S45:,T45:,U45:,V45:
A46:,B46:,C46:,D46:,E46:,F46: System,G46: Display,H46: Email nhân viên,I46: M,J46:,K46: N,L46:,M46:,N46:,O46:,P46:,Q46: Ẩn hiện tùy biến,R46:,S46:,T46:,U46:,V46:
A47:,B47:,C47:,D47:,E47:,F47: System,G47: Display,H47: Địa chỉ đặt TS,I47: O,J47:,K47: N,L47:,M47:,N47:,O47:,P47:,Q47: Ẩn hiện tùy biến,R47:,S47:,T47:,U47:,V47:
A48:,B48:,C48:,D48:,E48:,F48: System,G48: Display,H48: Tầng đặt TS,I48: O,J48:,K48: N,L48:,M48:,N48:,O48:,P48:,Q48: Ẩn hiện tùy biến,R48:,S48:,T48:,U48:,V48:
A49:,B49:,C49:,D49:,E49:,F49: System,G49: Display,H49: Phòng đặt TS,I49: O,J49:,K49: N,L49:,M49:,N49:,O49:,P49:,Q49: Ẩn hiện tùy biến,R49:,S49:,T49:,U49:,V49:
A50:,B50:,C50:,D50:,E50:,F50: System,G50: Display,H50: Ngày bắt đầu bảo hành,I50: O,J50:,K50: N,L50:,M50:,N50:,O50:,P50:,Q50: Ẩn hiện tùy biến,R50:,S50:,T50:,U50:,V50:
A51:,B51:,C51:,D51:,E51:,F51: System,G51: Display,H51: Thời hạn bảo hành,I51: O,J51:,K51: N,L51:,M51:,N51:,O51:,P51:,Q51: Ẩn hiện tùy biến,R51:,S51:,T51:,U51:,V51:
A52:,B52:,C52:,D52:,E52:,F52: System,G52: Display,H52: Ngày kết thúc bảo hành,I52: O,J52:,K52: N,L52:,M52:,N52:,O52:,P52:,Q52: Ẩn hiện tùy biến,R52:,S52:,T52:,U52:,V52:
A53:,B53:,C53:,D53:,E53:,F53: System,G53: Display,H53: Công ty bảo hành,I53: O,J53:,K53: N,L53:,M53:,N53:,O53:,P53:,Q53: Ẩn hiện tùy biến,R53:,S53:,T53:,U53:,V53:
A54:,B54:,C54:,D54:,E54:,F54: System,G54: Display,H54: Tên người liên hệ bảo hành,I54: O,J54:,K54: N,L54:,M54:,N54:,O54:,P54:,Q54: Ẩn hiện tùy biến,R54:,S54:,T54:,U54:,V54:
A55:,B55:,C55:,D55:,E55:,F55: System,G55: Display,H55: Điện thoại người liên hệ,I55: O,J55:,K55: N,L55:,M55:,N55:,O55:,P55:,Q55: Ẩn hiện tùy biến,R55:,S55:,T55:,U55:,V55:
A56:,B56:,C56:,D56:,E56:,F56: System,G56: Display,H56: Ngày bắt đầu sử dụng,I56: O,J56:,K56: N,L56:,M56:,N56:,O56:,P56:,Q56: Ẩn hiện tùy biến,R56:,S56:,T56:,U56:,V56:
A57:,B57:,C57:,D57:,E57:,F57:,G57:,H57:,I57:,J57:,K57:,L57:,M57:,N57:,O57:,P57:,Q57:,R57:,S57:,T57:,U57:,V57:
A58:,B58:,C58:,D58:,E58: Thông tin kho nhập,F58:,G58:,H58:,I58:,J58:,K58:,L58:,M58:,N58:,O58:,P58:,Q58:,R58:,S58:,T58:,U58:,V58:
A59:,B59:,C59:,D59:,E59:,F59: System,G59: Display,H59: Tên kho,I59: M,J59: List,K59: Y,L59: 50,M59:,N59:,O59:,P59:,Q59:,R59:,S59:,T59:,U59:,V59:
A60:,B60:,C60:,D60:,E60:,F60: System,G60: Display,H60: Địa chỉ kho,I60: M,J60: Text,K60: Y,L60: 50,M60:,N60:,O60:,P60: OMS,Q60: Tự động nhận diện, hiển thị theo Tên kho,R60:,S60:,T60:,U60:,V60:
A61:,B61:,C61:,D61:,E61:,F61: System,G61: Display,H61: Quản lý kho,I61: M,J61: Text,K61: N,L61: 50,M61:,N61:,O61:,P61: OMS,Q61: Tự động nhận diện, hiển thị theo Tên kho (Tên | Phòng ban | Email),R61:,S61:,T61:,U61:,V61:
A62:,B62:,C62:,D62:,E62: Thông tin đầu mối giao hàng,F62:,G62:,H62:,I62:,J62:,K62:,L62:,M62:,N62:,O62:,P62:,Q62:,R62:,S62:,T62:,U62:,V62:
