Sheet: 5.6.2b
A1: [<<<](→0),B1:,C1:,D1:,E1:,F1:,G1:,H1:,I1:,J1:,K1:,L1:,M1:,N1:,O1:,P1:,Q1:,R1:,S1:,T1:,U1:,V1:
A125:,B125:,C125:,D125:,E125:,F125: System,G125: Update,H125: Tasklist Approver,I125:,J125:,K125:,L125:,M125:,N125:,O125:,P125:,Q125: Đã xử lý,R125:,S125:,T125:,U125:,V125:
A126:,B126:,C126:,D126:,E126:,F126: System,G126: Update,H126: Tasklist AMP,I126:,J126:,K126:,L126:,M126:,N126:,O126:,P126:,Q126: Cần xử lý,R126:,S126:,T126:,U126:,V126:
A127:,B127: 8. Thông báo cho AMP,C127: Hệ thống,D127:,E127:,F127:,G127:,H127:,I127:,J127:,K127:,L127:,M127:,N127:,O127:,P127:,Q127:,R127:,S127:,T127:,U127:,V127:
A128:,B128:,C128:,D128:,E128:,F128: System,G128: Send,H128: Email notification,I128:,J128: Notification,K128:,L128:,M128:,N128:,O128:,P128:,Q128:,R128:,S128:,T128:,U128:,V128:
A129:,B129: 9. Cập nhật trạng thái yêu cầu,C129: Approver,D129:,E129:,F129: User,G129: Select,H129: Phê duyệt,I129:,J129:,K129:,L129:,M129:,N129:,O129:,P129:,Q129:,R129:,S129:,T129:,U129:,V129:
A130:,B130:,C130: Hệ thống,D130:,E130:,F130:,G130:,H130:,I130:,J130:,K130:,L130:,M130:,N130:,O130:,P130:,Q130:,R130:,S130:,T130:,U130:,V130:
A131:,B131:,C131:,D131:,E131:,F131: System,G131: Update,H131: RQ điều chuyển kho,I131:,J131:,K131:,L131:,M131:,N131:,O131:,P131:,Q131:,R131: Đã phê duyệt,S131:,T131:,U131:,V131:
A132:,B132: 10. Cập nhật tasklist,C132: Hệ thống,D132:,E132:,F132:,G132:,H132:,I132:,J132:,K132:,L132:,M132:,N132:,O132:,P132:,Q132:,R132:,S132:,T132:,U132:,V132:
A133:,B133:,C133:,D133:,E133:,F133: System,G133: Update,H133: Tasklist Approver,I133:,J133:,K133:,L133:,M133:,N133:,O133:,P133:,Q133: Đã xử lý,R133:,S133:,T133:,U133:,V133:
A134:,B134:,C134:,D134:,E134:,F134:,G134:,H134:,I134:,J134:,K134:,L134:,M134:,N134:,O134:,P134:,Q134:,R134:,S134:,T134:,U134:,V134:
A135:,B135: 11. Thông báo cho WK kho đi và kho đến,C135: Hệ thống,D135:,E135:,F135:,G135:,H135:,I135:,J135:,K135:,L135:,M135:,N135:,O135:,P135:,Q135:,R135:,S135:,T135:,U135:,V135:
A136:,B136:,C136:,D136:,E136:,F136: System,G136: Send,H136: Email notification,I136:,J136: Notification,K136:,L136:,M136:,N136:,O136:,P136:,Q136:,R136:,S136:,T136:,U136:,V136:
A137:,B137: 12. Tạo biên bản điều chuyển kho,C137: Hệ thống,D137:,E137:,F137: System,G137: Export,H137: Biên bản điều chuyển tài sản giữa các kho,I137:,J137:,K137:,L137:,M137:,N137:,O137:,P137:,Q137:,R137:,S137:,T137:,U137:,V137: Tự động tạo biên bản điều chuyển tài sản, ghi nhận dữ liệu xuất, nhập tài sản vào kho tương ứng
A138:,B138: 13. Cập nhật thông tin tài sản,C138: Hệ thống,D138:,E138:,F138:,G138:,H138:,I138:,J138:,K138:,L138:,M138:,N138:,O138:,P138:,Q138:,R138:,S138:,T138:,U138:,V138:
A139:,B139:,C139:,D139:,E139:,F139: System,G139: Update,H139: Thông tin kho của tài sản,I139:,J139:,K139:,L139:,M139:,N139:,O139:,P139:,Q139:,R139:,S139:,T139:,U139:,V139:
A140:,B140: 14. Bàn giao tài sản,C140: WK kho đi,D140:,E140:,F140: User,G140: Manual,H140: Bàn giao,I140:,J140:,K140:,L140:,M140:,N140:,O140:,P140:,Q140:,R140:,S140:,T140:,U140:,V140:
A141:,B141:,C141:,D141:,E141:,F141: User,G141: Manual,H141: Nhận tài sản,I141:,J141:,K141:,L141:,M141:,N141:,O141:,P141:,Q141:,R141:,S141:,T141:,U141:,V141:
A142:,B142:,C142:,D142:,E142:,F142:,G142:,H142:,I142:,J142:,K142:,L142:,M142:,N142:,O142:,P142:,Q142:,R142:,S142:,T142:,U142:,V142:
