Sheet: 5.4.1b 
A1: [<<<](→0),B1:,C1:,D1:,E1:,F1:,G1:,H1:,I1:,J1:,K1:,L1:,M1:,N1:,O1:,P1:,Q1:,R1:,S1:,T1:,U1:,V1:
A48:,B48:,C48:,D48:,E48: Ghi chú,F48: User,G48: Input,H48: Ghi chú,I48: M,J48: Text,K48: Y,L48: 150,M48:,N48:,O48:,P48:,Q48: = Mã RQ cấp/thanh lý,R48:,S48:,T48:,U48:,V48:
A49:,B49:,C49:,D49:,E49: Hồ sơ đính kèm,F49:,G49:,H49:,I49:,J49:,K49:,L49:,M49:,N49:,O49:,P49:,Q49:,R49:,S49:,T49:,U49:,V49:
A50:,B50:,C50:,D50:,E50:,F50: User,G50: Select,H50: Thêm,I50: M,J50: Button,K50: N,L50:,M50:,N50:,O50:,P50:,Q50:,R50:,S50:,T50:,U50:,V50:
A51:,B51:,C51:,D51:,E51:,F51: User,G51: Select,H51: File,I51: M,J51:,K51: N,L51:,M51:,N51:,O51:,P51:,Q51:,R51:,S51:,T51:,U51:,V51:
A52:,B52:,C52:,D52:,E52:,F52: System/User,G52: Display/Select,H52: Tên thư mục,I52: M,J52:,K52: N,L52:,M52:,N52:,O52:,P52:,Q52:,R52:,S52:,T52:,U52:,V52:
A53:,B53:,C53:,D53:,E53:,F53: System/User,G53: Display/Input,H53: Tên tài liệu,I53: M,J53: Text,K53: N,L53: 150,M53:,N53:,O53:,P53:,Q53:,R53:,S53:,T53:,U53:,V53:
A54:,B54:,C54:,D54:,E54:,F54: System,G54: Display,H54: Ngày,I54: M,J54:,K54: N,L54:,M54:,N54:,O54:,P54:,Q54:,R54:,S54:,T54:,U54:,V54:
A55:,B55:,C55:,D55:,E55:,F55: System,G55: Display,H55: Tên,I55: M,J55:,K55: N,L55:,M55:,N55:,O55:,P55:,Q55:,R55:,S55:,T55:,U55:,V55:
A56:,B56:,C56:,D56:,E56:,F56: System,G56: Display,H56: Dung lượng,I56: M,J56:,K56: N,L56:,M56:,N56:,O56:,P56:,Q56:,R56:,S56:,T56:,U56:,V56:
A57:,B57:,C57:,D57:,E57:,F57: System,G57: Display,H57: Tên file,I57: M,J57:,K57: N,L57:,M57:,N57:,O57:,P57:,Q57:,R57:,S57:,T57:,U57:,V57:
A58:,B58: 10. Cập nhật trạng thái yêu cầu,C58: Hệ thống,D58:,E58:,F58:,G58:,H58:,I58:,J58:,K58:,L58:,M58:,N58:,O58:,P58:,Q58:,R58:,S58:,T58:,U58:,V58:
A59:,B59:,C59:,D59:,E59:,F59: System,G59: Update,H59: RQ Cấp tài sản/RQ Thanh lý,I59:,J59:,K59:,L59:,M59:,N59:,O59:,P59:,Q59:,R59: Đã xác nhận/Đã cập nhật kết quả thanh lý/Đã phê duyệt kết quả thanh lý,S59:,T59:,U59:,V59:
A60:,B60:,C60:,D60:,E60:,F60: System,G60: Update,H60: RQ Xuất kho,I60:,J60:,K60:,L60:,M60:,N60:,O60:,P60:,Q60:,R60: Chờ xuất kho,S60:,T60:,U60:,V60:
A61:,B61:,C61:,D61:,E61:,F61:,G61:,H61:,I61:,J61:,K61:,L61:,M61:,N61:,O61:,P61:,Q61:,R61:,S61:,T61:,U61:,V61:
A62:,B62: 11. Cập nhật tasklist,C62: Hệ thống,D62:,E62:,F62:,G62:,H62:,I62:,J62:,K62:,L62:,M62:,N62:,O62:,P62:,Q62:,R62:,S62:,T62:,U62:,V62:
A63:,B63:,C63:,D63:,E63:,F63: System,G63: Update,H63: Tasklist AM,I63:,J63:,K63:,L63:,M63:,N63:,O63:,P63:,Q63: Đã xử lý,R63:,S63:,T63:,U63:,V63:
A64:,B64:,C64:,D64:,E64:,F64: System,G64: Update,H64: Tasklist WK,I64:,J64:,K64:,L64:,M64:,N64:,O64:,P64:,Q64: Cần xử lý,R64:,S64:,T64:,U64:,V64:
A65:,B65:,C65:,D65:,E65:,F65: System,G65: Update,H65: Tasklist AMP,I65:,J65:,K65:,L65:,M65:,N65:,O65:,P65:,Q65: Đã xử lý,R65:,S65:,T65:,U65:,V65:
A66:,B66: 16. Thông báo cho WK,C66: Hệ thống,D66:,E66:,F66:,G66:,H66:,I66:,J66:,K66:,L66:,M66:,N66:,O66:,P66:,Q66:,R66:,S66:,T66:,U66:,V66:
A67:,B67:,C67:,D67:,E67:,F67: System,G67: Send,H67: Email notification,I67:,J67: Notification,K67:,L67:,M67:,N67:,O67:,P67:,Q67:,R67:,S67:,T67:,U67:,V67:
A68:,B68:,C68:,D68:,E68:,F68:,G68:,H68:,I68:,J68:,K68:,L68:,M68:,N68:,O68:,P68:,Q68:,R68:,S68:,T68:,U68:,V68:
